temperature,humidity
12.17,91.17
20.2,61.87
25.83,69.2
17.08,59.43
14.44,52.59
10.2,99.96
20.99,56.01
20,53.57
18.68,82.38
18.28,75.05
12.32,99.96
13.81,96.05
11.39,99.96
11.52,84.33
13.27,93.61
22.47,60.89
16.05,59.43
25.92,63.34
23.31,67.24
11.26,84.82
17.33,75.05
10.71,98.49
19.42,75.05
20.56,54.55
19.26,74.57
20.7,64.31
16.82,61.38
19.5,67.73
15.19,99.96
16.09,72.61
19.22,76.52
18.61,94.59
17.52,76.52
17.72,97.03
19.96,53.57
18.09,97.03
10.57,96.05
12.13,87.75
8.56,79.45
8.42,79.94
19.85,53.08
10.89,97.52
15.71,74.57
15.61,77.01
16.9,65.29
15.8,56.99
18.27,54.06
17.73,67.73
18.69,60.41
16.93,51.62
18.02,84.82
18.56,56.99
17.63,52.59
19.92,54.06
24.37,55.52
17.45,54.06
18.91,60.41
21.29,58.45
16.08,54.55
22.51,57.48
13.68,53.08
21.64,60.89
26.82,73.1
15.07,60.89
12.25,58.45
25.52,92.14
13.1,91.66
15.31,62.85
13.08,95.07
11.52,80.43
19.98,53.57
10.46,86.29
25.78,58.94
23.07,66.27
27.87,64.31
23.58,77.5
23.31,70.17
22.32,72.13
22.42,70.17
17.7,71.64
9.53,97.03
10.86,83.84
20.61,63.34
8.52,99.96
8.52,99.96
26.05,63.34
20.02,99.96
10.35,84.82
9.72,97.52
8.01,83.36
24.48,60.89
9.96,93.12
11.74,79.94
9.57,91.17
10.86,97.52
26.39,68.71
9.99,88.73
10.94,94.1
9.29,91.17
8.82,99.96
7.19,87.26
7.15,86.29
6.77,99.96
12.49,86.77
6.96,99.96
9.94,99.96
20.7,66.27
11.74,73.1
10.32,99.96
19.81,54.55
12.03,72.13
9.62,95.56
12.23,68.71
18.84,73.59
6.87,95.07
11.55,90.68
6.52,99.96
10.19,90.19
18.06,72.13
6.84,99.96
20.71,62.85
11.83,70.66
12.01,71.64
17.33,77.98
18.25,96.05
17.36,73.59
12.05,66.27
19.83,54.55
16.53,80.43
9.24,99.96
10.73,98.98
16.98,79.45
7.33,99.96
15.65,76.03
19.82,55.04
15.65,75.05
13.05,68.71
15.62,80.91
12.77,92.14
13.68,83.84
16.27,78.47
14.09,81.89
16.51,80.43
9.22,83.84
19.95,92.63
15.01,77.98
16.03,81.4
15.95,74.57
15.83,74.57
16.12,74.57
15.59,81.89
16.08,67.24
20.01,51.62
11.74,89.21
15.41,59.43
14.44,83.36
11.02,99.96
11.66,77.01
19.81,54.55
17.98,69.68
13.14,83.36
20.53,61.87
16.91,58.94
19.28,55.52
22.95,82.87
18.1,65.78
9.73,99.96
10.23,86.29
19.83,53.08
17.37,54.55
7.92,83.84
9.73,91.17
23.32,53.08
13.97,67.24
17.62,98.98
21.35,50.15
19.78,54.06
24.36,43.8
19.81,53.57
22.07,80.43
13.51,69.2
21.94,54.55
16.43,80.91
20.61,61.87
17.74,76.52
17.43,77.5
16.11,82.38
15.62,99.47
13.42,99.96
20.6,61.87
16.41,85.8
18.47,82.38
16.51,85.31
16.09,86.29
16.27,87.26
20.69,62.36
16,86.29
18.42,72.13
20.66,60.89
14.17,91.66
16.26,79.94
15.75,89.21
14.73,92.63
17.34,77.98
13.34,86.77
16.98,77.01
16.3,82.87
13.92,95.07
13.49,93.12
14.15,95.07
12.6,93.61
20.54,62.85
12.93,93.12
13.34,94.59
13.37,89.7
14.12,96.05
11.15,99.96
13.23,93.61
16.81,83.84
22.77,73.59
21.89,72.61
21,97.52
14.64,91.66
16.93,99.96
21.19,80.43
19.46,84.82
19.61,73.59
20.66,61.87
21.59,70.17
26.58,82.38
21.97,72.13
20.67,65.29
23.54,58.94
25.35,86.29
25.43,60.41
23.4,66.75
25.76,85.31
25.17,64.31
23.47,68.22
23.27,66.75
25.91,84.82
19.9,62.36
