Time,x,y,z
2025-03-03T11:35:09.425897,-0.43,-0.31,0.49
2025-03-03T11:35:09.829757,0.49,-0.12,0.67
2025-03-03T11:35:10.236117,-3.11,-0.12,-0.12
2025-03-03T11:35:10.616216,0.67,-0.31,0.79
2025-03-03T11:35:11.004751,0.43,-0.24,0.73
2025-03-03T11:35:11.393971,-0.43,-0.18,0.49
2025-03-03T11:35:11.762346,-0.31,-0.24,0.49
2025-03-03T11:35:12.398221,-0.24,-0.18,0.49
2025-03-03T11:35:12.827143,0.0,-0.31,0.61
2025-03-03T11:35:13.223958,-0.73,-0.24,0.43
2025-03-03T11:35:13.594509,-0.06,-0.12,0.61
2025-03-03T11:35:14.163851,-0.55,-0.24,0.49
2025-03-03T11:35:14.546146,-0.18,-0.24,0.55
2025-03-03T11:35:14.957267,-0.37,-0.24,0.55
2025-03-03T11:35:15.339331,-0.12,-0.18,0.55
2025-03-03T11:35:15.743470,-0.31,-0.18,0.49
2025-03-03T11:35:16.100733,-0.85,-0.31,0.43
2025-03-03T11:35:16.484420,0.37,-0.18,0.67
2025-03-03T11:35:16.883934,-0.31,-0.18,0.55
2025-03-03T11:35:17.254482,-0.55,-0.24,0.49
2025-03-03T11:35:17.620668,-0.37,-0.18,0.49
2025-03-03T11:35:17.986133,-0.06,-0.18,0.55
2025-03-03T11:35:18.395923,-0.18,-0.18,0.55
2025-03-03T11:35:18.799611,-0.43,-0.24,0.49
2025-03-03T11:35:19.184120,0.92,-0.31,0.55
2025-03-03T11:35:19.549691,-1.65,-0.31,0.31
2025-03-03T11:35:19.920411,-0.49,-0.31,0.49
2025-03-03T11:35:20.314716,-0.98,-0.31,0.43
2025-03-03T11:35:20.746995,-1.16,-0.31,0.37
2025-03-03T11:35:21.096734,1.22,-0.06,0.85
2025-03-03T11:35:21.491409,-1.4,-0.37,0.31
2025-03-03T11:35:21.886743,0.79,-0.06,0.73
2025-03-03T11:35:22.533847,-0.37,-0.24,0.49
2025-03-03T11:35:22.908666,-0.61,-0.18,0.43
2025-03-03T11:35:23.488672,-0.18,-0.24,0.55
2025-03-03T11:35:23.895243,0.0,-0.31,0.55
2025-03-03T11:35:24.302935,-0.85,-0.31,0.43
2025-03-03T11:35:24.698558,0.12,-0.12,0.61
2025-03-03T11:35:25.096413,-0.73,-0.31,0.43
2025-03-03T11:35:25.495441,-0.06,-0.18,0.55
2025-03-03T11:35:25.884676,-0.43,-0.24,0.49
2025-03-03T11:35:26.280806,-0.31,-0.24,0.55
2025-03-03T11:35:26.662703,0.06,-0.12,0.61
2025-03-03T11:35:27.061592,-0.24,-0.18,0.55
2025-03-03T11:35:27.467125,-0.31,-0.24,0.43
2025-03-03T11:35:27.863349,-0.06,-0.18,0.55
2025-03-03T11:35:28.224586,-0.49,-0.24,0.49
2025-03-03T11:35:28.591194,-0.37,-0.18,0.49
2025-03-03T11:35:29.003017,-0.12,-0.18,0.55
2025-03-03T11:35:29.390213,-0.24,-0.24,0.55
2025-03-03T11:35:29.800689,-0.06,-0.24,0.55
2025-03-03T11:35:30.196669,-0.24,-0.24,0.55
2025-03-03T11:35:30.579397,-0.31,-0.18,0.49
2025-03-03T11:35:30.961164,0.0,-0.18,0.61
2025-03-03T11:35:31.349142,-0.92,-0.24,0.43
2025-03-03T11:35:31.730176,1.65,0.0,0.92
2025-03-03T11:35:32.126850,-1.4,-0.37,0.31
2025-03-03T11:35:32.521155,0.0,-0.12,0.61
2025-03-03T11:35:32.918918,-0.37,-0.24,0.49
2025-03-03T11:35:33.289983,-0.31,-0.12,0.55
2025-03-03T11:35:33.678957,-0.12,-0.18,0.55
2025-03-03T11:35:34.072841,-1.1,-0.18,0.37
2025-03-03T11:35:34.494769,0.55,-0.24,0.73
2025-03-03T11:35:34.879093,-2.99,-0.31,-0.06
2025-03-03T11:35:35.282240,0.55,-0.18,0.67
2025-03-03T11:35:35.703813,0.61,-0.12,0.67
2025-03-03T11:35:36.538525,-2.14,-0.18,0.12
2025-03-03T11:35:37.234670,0.73,-0.18,0.73
2025-03-03T11:35:37.683649,1.1,-0.06,0.79
2025-03-03T11:35:38.353094,-1.16,-0.24,0.37
2025-03-03T11:35:38.892872,0.55,-0.18,0.67
2025-03-03T11:35:39.332166,0.0,-0.18,0.61
2025-03-03T11:35:39.733555,0.37,-0.24,0.67
2025-03-03T11:35:40.129408,-0.31,-0.24,0.55
2025-03-03T11:35:40.532347,0.18,-0.18,0.61
2025-03-03T11:35:40.914304,0.24,-0.18,0.67
2025-03-03T11:35:41.294067,-0.31,-0.18,0.55
2025-03-03T11:35:41.683801,-0.12,-0.18,0.55
2025-03-03T11:35:42.090170,-0.24,-0.18,0.49
2025-03-03T11:35:42.456414,0.12,-0.18,0.61
2025-03-03T11:35:42.870087,0.06,-0.18,0.61
2025-03-03T11:35:43.268555,0.31,-0.12,0.67
2025-03-03T11:35:43.681792,0.0,-0.18,0.61
2025-03-03T11:35:44.088092,-0.61,-0.18,0.49
2025-03-03T11:35:44.460755,0.24,-0.18,0.61
2025-03-03T11:35:44.889868,-0.24,-0.18,0.55
2025-03-03T11:35:45.284967,-0.06,-0.12,0.55
2025-03-03T11:35:45.676233,-0.06,-0.12,0.55
2025-03-03T11:35:46.056084,0.24,-0.18,0.61
2025-03-03T11:35:46.430801,-0.31,-0.18,0.49
2025-03-03T11:35:46.807282,-0.37,-0.18,0.49
2025-03-03T11:35:47.177012,0.12,-0.18,0.61
2025-03-03T11:35:47.584752,0.0,-0.18,0.55
2025-03-03T11:35:47.988834,-0.37,-0.18,0.49
2025-03-03T11:35:48.346164,-0.06,-0.12,0.55
2025-03-03T11:35:48.706354,0.24,-0.12,0.61
2025-03-03T11:35:49.065938,-0.12,-0.18,0.55
2025-03-03T11:35:49.434753,0.06,-0.18,0.55
2025-03-03T11:35:50.079628,-0.06,-0.12,0.55
2025-03-03T11:35:50.501136,0.06,-0.18,0.55
2025-03-03T11:35:50.890216,0.12,-0.12,0.61
